version,date,content,type,slug,library
4.0.0,2025-12-02,"### Changed

-   Unified Motion Studio SDK, MCP and Extension versioning.
-   Extension: Replaced internal `EasingCurve` component with SDK.

### Added

-   Extension: Packaged and minified for smaller filesize.

### Fixed

-   SDK `EasingCurve`: Ensure final curve point is drawn correctly.",major,studio-4,Studio
3.0.2,2025-11-27,"### Added

-   SDK `EasingCurve`: `transition` prop allows animation between easing curves.",patch,studio-3-0-2,Studio
3.0.1,2025-11-27,"### Added

-   SDK `EasingCurve`: Now accepts easing functions.",patch,studio-3-0-1,Studio
3.0.0,2025-11-27,"### Added

-   SDK `EasingCurve`: React component for drawing a provided easing curve.
-   SDK `TransitionState`: State for editing Motion transitions.
-   SDK `toCSSTransition`: Convert `TransitionState` to a CSS `transition` string.
-   SDK `toMotionTransition`: Convert `TransitionState` to a Motion `Transition` string.
-   SDK `fromShareURL`: Create a `TransitionState` from the current URL.
-   SDK `toShareQueryString`: Create a serialised `TransitionState` safe for adding to the URL.",major,studio-3,Studio
1.0.0,2025-11-26,"### Added

-   Motion+ AI Patterns: Use your LLM to query Motion Examples to kickstart its code generation.",major,studio-1,Studio
0.0.9,2025-11-10,"### Removed

-   Extension: Removing automatic MCP registration to support more editors.",patch,studio-0-0-9,Studio
0.0.8,2025-11-09,"### Changed

-   Extension: Updating to Motion Studio branding.",patch,studio-0-0-8,Studio
0.0.7,2025-09-10,"### Added

-   Extension: Allowing bezier editor SVG to overflow.",patch,studio-0-0-7,Studio
0.0.6,2025-08-10,"### Added

-   Extension: Updating copy to remove reference to spring.",patch,studio-0-0-6,Studio
0.0.5,2025-07-21,"### Added

-   Extension: Fixing build for views.",patch,studio-0-0-5,Studio
0.0.4,2025-07-09,"### Added

-   Extension: Add bezier curve editor.",patch,studio-0-0-4,Studio
0.0.3,2025-07-03,"### Added

-   Extension: Update name.",patch,studio-0-0-3,Studio
0.0.2,2025-07-01,"### Added

-   Extension: Improve README.",patch,studio-0-0-2,Studio
0.0.1,2025-07-01,"### Added

-   Extension: Initial release.",patch,studio-0-0-1,Studio
